record_date,t_max,t_min,weather_type,wind_direction,wind_level
2015-05-14,31,22,多云~中雨,西南风,3-4级
2015-05-15,25,16,小到中雨~阴,东北风,3-4级
2015-05-16,24,15,多云,东南风,3-4级
2015-05-17,26,18,多云~雷雨,东南风,3-4级
2015-05-18,25,17,小雨~多云,东南风,3-4级
2015-05-19,29,19,多云,东南风,3-4级
2015-05-20,27,15,多云,东南风,3-4级
2015-05-21,25,15,晴~多云,东南风,3-4级
2015-05-22,28,18,晴,东北风,3-4级
2015-05-23,26,18,阴~,东北风,3-4级
2015-05-24,27,19,多云,东北风,3-4级
2015-05-25,29,19,晴~,东北风,3-4级
2015-05-26,27,20,多云~,东南风,3-4级
2015-05-27,22,17,阵雨,东北风,3-4级
2015-05-28,27,20,阴,东南风,3-4级
2015-05-29,23,20,中到大雨~中雨,东北风,3-4级
2015-05-30,26,19,多云~晴,东北风,3-4级
2015-05-31,27,19,多云,东南风,3-4级
2015-06-01,31,23,多云~雷雨,东南风,3-4级
2015-06-02,25,19,暴雨~小到中雨,东北风,3-4级
2015-06-03,26,16,阴~晴,东南风,3-4级
2015-06-04,26,19,多云,西北风,3-4级
2015-06-05,28,19,晴,西南风,3-4级
2015-06-06,32,21,多云,东南风,3-4级
2015-06-07,27,21,雷雨~大雨,东北风,3-4级
2015-06-08,27,20,阴,西南风,3-4级
2015-06-09,29,22,阴,东南风,3-4级
2015-06-10,28,21,阴~多云,东南风,3-4级
2015-06-11,33,22,多云,西南风,3-4级
2015-06-12,34,23,晴~多云,西南风,3-4级
2015-06-13,33,25,多云,西南风,3-4级
2015-06-14,32,23,多云~阴,东北风,3-4级
2015-06-15,28,21,雷雨,东南风,3-4级
2015-06-16,21,18,大雨~暴雨,东北风,3-4级
2015-06-17,22,18,小雨~阴,东北风,3-4级
2015-06-18,28,19,多云,东南风,3-4级
2015-06-19,29,21,多云,东南风,3-4级
2015-06-20,30,21,多云~阴,东北风,3-4级
2015-06-21,26,21,阵雨,东南风,3-4级
2015-06-22,26,21,阴,东南风,3-4级
2015-06-23,25,23,阵雨~小雨,东南风,3-4级
2015-06-24,26,22,小雨~小到中雨,东北风,3-4级
2015-06-25,30,23,阴~中雨,西北风,3-4级
2015-06-26,26,21,雷雨~大雨,东南风,3-4级
2015-06-27,23,19,暴雨,东南风,3-4级
2015-06-28,24,21,中到大雨~小雨,东南风,3-4级
2015-06-29,24,21,大雨~雷雨,东南风,3-4级
2015-06-30,27,21,中到大雨~小雨,东南风,3-4级
2015-07-01,29,21,多云~晴,西南风,3-4级
2015-07-02,32,23,多云,西南风,3-4级
2015-07-03,30,21,多云,东南风,3-4级
2015-07-04,28,19,阴,东南风,3-4级
2015-07-05,28,19,阴,东南风,3-4级
2015-07-06,22,18,小雨~中到大雨,东北风,3-4级
2015-07-07,24,19,雷雨,东北风,3-4级
2015-07-08,24,20,小到中雨~小雨,东北风,3-4级
2015-07-09,27,22,阴,东北风,3-4级
2015-07-10,31,24,阴~阵雨,东北风,3-4级
2015-07-11,27,23,大雨~大到暴雨,东北风,3-4级
2015-07-12,29,23,阴~多云,东南风,3-4级
2015-07-13,35,25,多云,东南风,3-4级
2015-07-14,35,25,晴~多云,东南风,3-4级
2015-07-15,32,24,多云,东北风,3-4级
2015-07-16,29,23,雷阵雨~小到中雨,东南风,3-4级
2015-07-17,25,22,中雨,东南风,3-4级
2015-07-18,27,23,雷阵雨,东南风,3-4级
2015-07-19,26,24,大雨~小雨,东南风,3-4级
2015-07-20,28,24,阴,东南风,3-4级
2015-07-21,30,24,多云,东南风,3-4级
2015-07-22,31,25,多云~阴,东南风,3-4级
2015-07-23,31,25,雷阵雨,东南风,3-4级
2015-07-24,28,24,中雨,西南风,3-4级
2015-07-25,29,25,中雨~小雨,东南风,3-4级
2015-07-26,32,26,雷阵雨~多云,西南风,3-4级
2015-07-27,35,27,多云,西南风,3-4级
2015-07-28,36,27,多云~晴,西南风,3-4级
2015-07-29,37,28,多云,西南风,3-4级
2015-07-30,35,27,晴~多云,西南风,3-4级
2015-07-31,35,27,晴,西北风,3-4级
2015-08-01,35,27,阴~多云,东南风,3-4级
2015-08-02,37,28,晴,西南风,3-4级
2015-08-03,37,28,晴,西南风,3-4级
2015-08-04,37,28,晴,西南风,3-4级
2015-08-05,37,28,多云,东南风,3-4级
2015-08-06,35,26,多云,东南风,3-4级
2015-08-07,34,26,多云,东南风,3-4级
2015-08-08,33,26,多云~雷阵雨,东北风,3-4级
2015-08-09,30,25,雷阵雨~小到中雨,东北风,3-4级
2015-08-10,28,24,暴雨~小到中雨,东南风,3-4级
2015-08-11,28,23,阴~多云,西北风,3-4级
2015-08-12,31,23,多云,东南风,3-4级
2015-08-13,30,23,多云,东南风,3-4级
2015-08-14,32,23,多云,东南风,3-4级
2015-08-15,30,24,阴,东南风,3-4级
2015-08-16,30,23,多云~晴,东南风,3-4级
2015-08-17,31,24,多云,东南风,3-4级
2015-08-18,30,23,多云,东北风,3-4级
2015-08-19,30,24,阴~大雨,东南风,3-4级
2015-08-20,26,23,阵雨~阴,无持续风向,3-4级
2015-08-21,29,23,阴~多云,东北风,3-4级
2015-08-22,28,21,阴,东南风,3-4级
2015-08-23,28,21,阴,东北风,3-4级
2015-08-24,24,20,小到中雨~多云,西北风,3-4级
2015-08-25,29,21,多云,东北风,3-4级
2015-08-26,30,22,多云,西南风,3-4级
2015-08-27,30,22,阵雨~多云,东南风,3-4级
2015-08-28,30,22,多云,东南风,3-4级
2015-08-29,31,22,多云,东南风,3-4级
2015-08-30,31,22,多云,东南风,3-4级
2015-08-31,30,22,多云,东北风,3-4级
2015-09-01,29,22,雷阵雨~多云,东北风,3-4级
2015-09-02,30,22,多云,西北风,3-4级
2015-09-03,29,22,多云,东南风,3-4级
2015-09-04,30,23,阴~中雨,东北风,3-4级
2015-09-05,28,22,阴~多云,西北风,3-4级
2015-09-06,28,21,多云,东北风,3-4级
2015-09-07,28,21,多云,东北风,3-4级
2015-09-08,28,20,多云,东北风,3-4级
2015-09-09,28,19,晴~多云,东北风,3-4级
2015-09-10,28,20,晴~多云,东南风,3-4级
2015-09-11,27,20,多云~阵雨,西北风,3-4级
2015-09-12,24,16,阴~多云,西北风,3-4级
2015-09-13,25,17,多云,东北风,3-4级
2015-09-14,26,20,多云,东南风,3-4级
2015-09-15,26,18,阴~多云,东南风,3-4级
2015-09-16,27,18,多云~晴,东北风,3-4级
2015-09-17,26,18,多云,西北风,3-4级
2015-09-18,27,19,多云,东北风,3-4级
2015-09-19,28,20,多云,东南风,3-4级
2015-09-20,26,19,多云~晴,东南风,3-4级
2015-09-21,27,20,多云,东南风,3-4级
2015-09-22,26,21,阵雨~小雨,西南风,3-4级
2015-09-23,26,19,多云,西北风,3-4级
2015-09-24,26,20,多云~小雨,东北风,3-4级
2015-09-25,27,19,阴~多云,东北风,3-4级
2015-09-26,28,18,多云~晴,东北风,3-4级
2015-09-27,27,18,晴,东北风,3-4级
2015-09-28,27,20,多云~阵雨,东北风,3-4级
2015-09-29,25,21,阵雨,东北风,3-4级
2015-09-30,26,19,阵雨~中到大雨,东南风,3-4级
2015-10-01,23,14,多云~晴,西北风,3-4级
2015-10-02,24,15,晴,东南风,3-4级
2015-10-03,25,17,多云,东南风,3-4级
2015-10-04,25,19,多云~小雨,西南风,3-4级
2015-10-05,23,18,阴~多云,东南风,3-4级
2015-10-06,24,19,阴~阵雨,东南风,3-4级
2015-10-07,22,18,阵雨,东北风,3-4级
2015-10-08,19,15,阴~多云,东北风,3-4级
2015-10-09,22,12,多云~晴,西南风,3-4级
2015-10-10,23,10,晴~多云,西北风,3-4级
2015-10-11,20,10,晴,东南风,3-4级
2015-10-12,22,11,晴,东南风,3-4级
2015-10-13,24,13,晴~多云,东南风,3-4级
2015-10-14,24,13,多云,东南风,3-4级
2015-10-15,25,14,晴,西南风,3-4级
2015-10-16,26,15,晴,东南风,3-4级
2015-10-17,26,14,晴,东南风,3-4级
2015-10-18,25,14,晴~多云,东北风,3-4级
2015-10-19,24,15,多云,东南风,3-4级
2015-10-20,25,16,多云,东南风,3-4级
2015-10-21,25,16,多云,东北风,3-4级
2015-10-22,25,16,多云,东北风,3-4级
2015-10-23,25,17,多云,东北风,3-4级
2015-10-24,25,17,多云,东北风,3-4级
2015-10-25,23,16,多云~阴,东南风,3-4级
2015-10-26,24,14,小雨,西北风,3-4级
2015-10-27,19,11,多云,西南风,3-4级
2015-10-28,20,12,阴,东南风,3-4级
2015-10-29,18,12,阴~多云,西北风,3-4级
2015-10-30,18,10,多云,东北风,3-4级
2015-10-31,17,11,多云~阵雨,西北风,3-4级
2015-11-01,17,8,多云~晴,西南风,3-4级
2015-11-02,18,8,晴,东南风,3-4级
2015-11-03,20,11,多云,东南风,3-4级
2015-11-04,21,14,阴,东南风,3-4级
2015-11-05,23,16,阴~小雨,东南风,3-4级
2015-11-06,26,19,阵雨,东南风,3-4级
2015-11-07,17,12,阵雨~小雨,西北风,3-4级
2015-11-08,13,9,阵雨~多云,西北风,3-4级
2015-11-09,13,8,多云,东北风,3-4级
2015-11-10,15,9,多云,东南风,3-4级
2015-11-11,16,10,阴,东北风,3-4级
2015-11-12,16,13,小雨,西南风,3-4级
2015-11-13,16,12,阴,西北风,3-4级
2015-11-14,17,10,多云,东南风,3-4级
2015-11-15,18,11,阴~中雨,东风,3-4级
2015-11-16,17,13,阴~小雨,东北风,3-4级
2015-11-17,15,12,小雨,东北风,3-4级
2015-11-18,15,11,小雨~小到中雨,东北风,3-4级
2015-11-19,14,11,小雨~阴,东北风,3-4级
2015-11-20,16,11,阴,东南风,3-4级
2015-11-21,16,13,阴~阵雨,东北风,3-4级
2015-11-22,17,14,小雨,东北风,3-4级
2015-11-23,16,10,小雨,东北风,3-4级
2015-11-24,11,3,小雨~小到中雨,西北风,3-4级
2015-11-25,5,0,多云~晴,西北风,3-4级
2015-11-26,3,-4,晴,西北风,3-4级
2015-11-27,5,-2,晴~多云,东南风,3-4级
2015-11-28,12,3,多云~阴,东北风,3-4级
2015-11-29,16,6,多云~晴,东南风,3-4级
2015-11-30,15,5,多云,东南风,3-4级
2015-12-01,17,10,多云~阴,西北风,3-4级
2015-12-02,12,3,多云~晴,西北风,3-4级
2015-12-03,10,0,晴,西北风,3-4级
2015-12-04,9,2,晴~多云,西南风,3-4级
2015-12-05,8,4,阵雨,西南风,3-4级
2015-12-06,10,2,多云,东南风,3-4级
2015-12-07,12,3,晴,东南风,3-4级
2015-12-08,13,6,多云,东南风,3-4级
2015-12-09,12,8,小雨,东北风,3-4级
2015-12-10,12,7,阴~多云,西北风,3-4级
2015-12-11,10,1,多云,东北风,3-4级
2015-12-12,10,2,晴~多云,东北风,3-4级
2015-12-13,9,3,多云~阴,西北风,3-4级
2015-12-14,10,4,阴,西北风,3-4级
2015-12-15,10,0,多云~晴,西北风,3-4级
2015-12-16,6,-3,晴,西北风,3-4级
2015-12-17,5,-3,晴,西南风,3-4级
2015-12-18,6,-2,多云,东南风,3-4级
2015-12-19,9,2,阴~小雨,东南风,3-4级
2015-12-20,8,2,小雨~阴,西北风,3-4级
2015-12-21,8,0,多云~阴,东南风,3-4级
2015-12-22,11,6,阴,西北风,3-4级
2015-12-23,10,7,阴~小雨,东北风,3-4级
2015-12-24,10,4,小雨~阴,西北风,3-4级
2015-12-25,10,2,多云~晴,西南风,3-4级
2015-12-26,14,4,晴~多云,西南风,3-4级
2015-12-27,9,1,阴~多云,东北风,3-4级
2015-12-28,6,-1,多云,东北风,3-4级
2015-12-29,9,0,多云,东南风,3-4级
2015-12-30,11,0,晴,西北风,3-4级
2015-12-31,9,-1,晴,东北风,3-4级
2016-01-01,11,2,多云,东南风,3-4级
2016-01-02,15,7,多云~阴,东南风,3-4级
2016-01-03,16,7,多云~阴,东南风,3-4级
2016-01-04,13,7,小雨~小到中雨,东北风,3-4级
2016-01-05,10,5,小雨~阴,东北风,3-4级
2016-01-06,8,3,阴~多云,西北风,3-4级
2016-01-07,6,-1,阴~多云,西北风,3-4级
2016-01-08,7,-1,晴~多云,东北风,3-4级
2016-01-09,9,-1,多云~阴,东南风,3-4级
2016-01-10,10,4,小雨,东北风,3-4级
2016-01-11,8,1,雨夹雪,东北风,3-4级
2016-01-12,3,-3,小雪~阴,西北风,3-4级
2016-01-13,4,-2,多云,西南风,3-4级
2016-01-14,7,-2,多云,西南风,3-4级
2016-01-15,8,-2,晴,东南风,3-4级
2016-01-16,10,1,多云~小雨,东北风,3-4级
2016-01-17,8,0,小雨~多云,东北风,3-4级
2016-01-18,3,-4,晴,西北风,3-4级
2016-01-19,3,-4,多云,东北风,3-4级
2016-01-20,3,-2,阴~中到大雪,东北风,3-4级
2016-01-21,2,-2,雨夹雪~阴,东北风,3-4级
2016-01-22,3,-4,小雪,东北风,3-4级
2016-01-23,-3,-10,阴~多云,西北风,3-4级
2016-01-24,-6,-10,晴,西北风,3-4级
2016-01-25,2,-8,晴,西南风,3-4级
2016-01-26,6,-4,多云~阴,西南风,3-4级
2016-01-27,8,-1,多云~小雨,东南风,3-4级
2016-01-28,6,3,小雨,东北风,3-4级
2016-01-29,5,1,小雨~阴,东北风,3-4级
2016-01-30,5,-1,阴~多云,东北风,3-4级
2016-01-31,4,-2,雨夹雪~阴,东北风,3-4级
2016-02-01,2,-5,多云,西北风,3-4级
2016-02-02,5,-4,多云,东北风,3-4级
2016-02-03,7,-3,晴~多云,东北风,3-4级
2016-02-04,7,-2,多云,东南风,3-4级
2016-02-05,9,-2,多云~阴,西北风,3-4级
2016-02-06,7,-3,晴,西北风,3-4级
2016-02-07,10,-2,多云~晴,西北风,3-4级
2016-02-08,15,2,晴,西南风,3-4级
2016-02-09,17,2,晴~多云,东南风,3-4级
2016-02-10,20,7,多云~阴,东南风,3-4级
2016-02-11,18,11,雷阵雨~阴,东南风,3-4级
2016-02-12,18,11,阵雨~中雨,东北风,3-4级
2016-02-13,14,1,小雨~阴,西北风,3-4级
2016-02-14,6,-3,阴~多云,西北风,3-4级
2016-02-15,7,-2,晴,西北风,3-4级
2016-02-16,10,0,晴,西北风,3-4级
2016-02-17,12,2,多云,东南风,3-4级
2016-02-18,16,3,晴~多云,东南风,3-4级
2016-02-19,13,3,阴,东南风,3-4级
2016-02-20,11,-1,多云~晴,东南风,3-4级
2016-02-21,10,2,阴~小到中雨,东南风,3-4级
2016-02-22,7,4,小雨~阴,东北风,3-4级
2016-02-23,11,1,阴~多云,东北风,3-4级
2016-02-24,9,0,晴,东南风,3-4级
2016-02-25,12,2,多云,东南风,3-4级
2016-02-26,17,4,多云,西南风,3-4级
2016-02-27,19,8,晴~多云,西南风,3-4级
2016-02-28,17,2,阴~多云,东北风,3-4级
2016-02-29,10,-1,晴,东北风,3-4级
2016-03-01,13,1,晴~多云,东南风,3-4级
2016-03-02,16,7,多云,东南风,3-4级
2016-03-03,16,9,阵雨~阴,东南风,3-4级
2016-03-04,19,12,阵雨~阴,东北风,3-4级
2016-03-05,21,11,阴~多云,东北风,3-4级
2016-03-06,19,10,多云,东南风,3-4级
2016-03-07,16,6,多云~小雨,东北风,3-4级
2016-03-08,9,1,中到大雨~小雨,东北风,3-4级
2016-03-09,7,1,阴,东北风,3-4级
2016-03-10,8,-1,多云~晴,东北风,3-4级
2016-03-11,11,1,多云~晴,西南风,3-4级
2016-03-12,13,4,小雨,东南风,3-4级
2016-03-13,11,4,阴~多云,东北风,3-4级
2016-03-14,13,3,多云,东南风,3-4级
2016-03-15,14,4,多云,东南风,3-4级
2016-03-16,18,6,多云~阴,东南风,3-4级
2016-03-17,15,9,小雨,东北风,3-4级
2016-03-18,18,11,阴,西北风,3-4级
2016-03-19,19,7,多云,东南风,3-4级
2016-03-20,17,6,多云,东北风,3-4级
2016-03-21,17,6,多云,东北风,3-4级
2016-03-22,16,9,多云~阴,东南风,3-4级
2016-03-23,14,4,多云,东北风,3-4级
2016-03-24,12,3,多云,东北风,3-4级
2016-03-25,15,3,多云,东北风,3-4级
2016-03-26,15,5,阴~多云,西北风,3-4级
2016-03-27,18,7,晴,西风,3-4级
2016-03-28,20,9,多云,西南风,3-4级
2016-03-29,20,13,多云,西南风,3-4级
2016-03-30,21,12,阴~小雨,西南风,3-4级
2016-03-31,20,10,多云~晴,西南风,3-4级
2016-04-01,24,14,多云,东南风,3-4级
2016-04-02,19,13,雷阵雨~中雨,东北风,3-4级
2016-04-03,14,9,阵雨~阴,东北风,3-4级
2016-04-04,18,10,多云,东北风,3-4级
2016-04-05,16,11,阵雨~中雨,东南风,3-4级
2016-04-06,14,12,中到大雨~中雨,西北风,3-4级
2016-04-07,20,10,阴~多云,西南风,3-4级
2016-04-08,23,13,多云,东南风,3-4级
2016-04-09,25,13,多云,东南风,3-4级
2016-04-10,26,11,多云,东北风,3-4级
2016-04-11,21,12,多云~阴,东南风,3-4级
2016-04-12,23,14,多云,东南风,3-4级
2016-04-13,27,16,多云,东南风,3-4级
2016-04-14,27,15,多云,东南风,3-4级
2016-04-15,25,16,多云~小到中雨,东南风,3-4级
2016-04-16,20,12,中到大雨~阴,西北风,3-4级
2016-04-17,20,11,阴,东北风,3-4级
2016-04-18,22,12,多云,西南风,3-4级
2016-04-19,24,15,多云~雷阵雨,东南风,3-4级
2016-04-20,18,14,大雨~小雨,西北风,3-4级
2016-04-21,25,15,多云,西南风,3-4级
2016-04-22,27,16,多云~雷阵雨,东南风,3-4级
2016-04-23,18,13,小雨~阴,东南风,3-4级
2016-04-24,21,13,阴~多云,东北风,3-4级
2016-04-25,20,13,阴,东南风,3-4级
2016-04-26,17,12,小雨~小到中雨,东北风,3-4级
2016-04-27,17,11,阵雨~多云,西北风,3-4级
2016-04-28,23,12,多云,西北风,3-4级
2016-04-29,27,15,晴,西南风,3-4级
2016-04-30,29,17,晴~多云,东南风,3-4级
2016-05-01,30,20,多云~雷阵雨,东南风,3-4级
2016-05-02,26,16,中到大雨~小雨,东南风,3-4级
2016-05-03,25,14,晴,西南风,3-4级
2016-05-04,30,20,多云~阴,东南风,3-4级
2016-05-05,25,20,中雨~阴,西南风,3-4级
2016-05-06,28,17,多云,东北风,3-4级
2016-05-07,19,15,阴~小雨,东北风,3-4级
2016-05-08,17,13,阵雨,东南风,3-4级
2016-05-09,20,15,阵雨,东北风,3-4级
2016-05-10,21,13,多云~晴,西北风,3-4级
2016-05-11,27,16,晴,东南风,3-4级
2016-05-12,30,16,多云,东南风,3-4级
2016-05-13,20,15,阴~多云,东北风,3-4级
2016-05-14,26,16,多云~阴,东南风,3-4级
2016-05-15,18,13,中雨~多云,西北风,3-4级
2016-05-16,25,13,晴,东南风,3-4级
2016-05-17,26,14,多云,东南风,3-4级
2016-05-18,25,14,多云,东北风,3-4级
2016-05-19,27,17,多云,东南风,3-4级
2016-05-20,24,17,阴~小到中雨,东北风,3-4级
2016-05-21,19,16,中雨~小雨,东北风,3-4级
2016-05-22,19,15,小雨~阴,西北风,3-4级
2016-05-23,23,17,阴~小雨,西南风,3-4级
2016-05-24,26,17,阴~多云,西南风,3-4级
2016-05-25,29,21,多云~雷阵雨,西南风,3-4级
2016-05-26,26,20,雷阵雨~小到中雨,西南风,3-4级
2016-05-27,23,19,中雨~中到大雨,东北风,3-4级
2016-05-28,21,19,阵雨,东南风,3-4级
2016-05-29,24,17,阴~多云,东南风,3-4级
2016-05-30,27,20,多云~小雨,东南风,3-4级
2016-05-31,29,21,雷阵雨~大到暴雨,东北风,3-4级
2016-06-01,21,16,小雨~阴,东南风,3-4级
2016-06-02,22,18,多云~阵雨,东北风,3-4级
2016-06-03,23,18,阵雨,东北风,3-4级
2016-06-04,22,16,阴~多云,西北风,3-4级
2016-06-05,26,18,多云,东南风,3-4级
2016-06-06,27,19,雷阵雨~中雨,东北风,3-4级
2016-06-07,26,21,雷阵雨,东北风,3-4级
2016-06-08,24,19,阵雨~多云,东北风,3-4级
2016-06-09,25,19,阴,东北风,3-4级
2016-06-10,27,22,多云,东北风,3-4级
2016-06-11,30,23,阴~雷阵雨,西北风,3-4级
2016-06-12,26,20,雷阵雨~多云,东南风,3-4级
2016-06-13,31,22,多云,东南风,3-4级
2016-06-14,33,25,多云~阴,西南风,3-4级
2016-06-15,30,22,雷阵雨~阴,西北风,3-4级
2016-06-16,30,20,多云~晴,西南风,3-4级
2016-06-17,32,23,晴~多云,东南风,3-4级
2016-06-18,33,25,多云~雷阵雨,西南风,3-4级
2016-06-19,32,25,雷阵雨~中雨,东南风,3-4级
2016-06-20,29,25,雷阵雨,西南风,3-4级
2016-06-21,29,24,小到中雨~小雨,东南风,3-4级
2016-06-22,31,25,大到暴雨~阴,西南风,3-4级
2016-06-23,33,27,雷阵雨~阴,西南风,3-4级
2016-06-24,27,21,中雨~小雨,西南风,3-4级
2016-06-25,27,20,阵雨~多云,西南风,3-4级
2016-06-26,29,21,多云~小雨,东南风,3-4级
